"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","trap2","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","task_id","screen_id","time_stamp","response_type","key_press","avg_frame_time","center_x","center_y","person","word","valence","domain","math","correct_response","correct","status","view_history","identity","duration","Image","condition","question_order","trap2_item"
"4493","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color:lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","4500","0.0-0.0","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","4503","0.0-1.0-0.0","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34801","","[{""name"":""Sex"",""value"":""1""},{""name"":""friend_name"",""value"":""仲""},{""name"":""ParticipantID"",""value"":""102""}]","survey-html-form","2","39314","0.0-1.0-1.0","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","39949","0.0-2.0","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","46805","0.0-3.0","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29408.599999999977","","{""Q01"":""5"",""Q02"":""2"",""Q03"":""5"",""Q04"":""1"",""Q05"":""1""}","survey-template","5","76219","0.0-4.0","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","{""Q01"":""5"",""Q02"":""2"",""Q03"":""5"",""Q04"":""1"",""Q05"":""1""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q01"",""Q03"",""Q04"",""Q05""]","[12663.599999999977,16919,21575.79999999993,22184.199999999953,26519.599999999977,28399.099999999977]","[]","[12663.599999999977,16919,21575.79999999993,22184.199999999953,26519.599999999977,28399.099999999977,29406.899999999907]","0.4","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"26130.099999999977","","{""Q01"":""5"",""Q02"":""3"",""Q03"":""4"",""Q04"":""4"",""Q05"":""5"",""Q06"":""5""}","survey-template","6","102360","0.0-5.0","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","{""Q01"":""5"",""Q02"":""3"",""Q03"":""4"",""Q04"":""4"",""Q05"":""5"",""Q06"":""5""}","[0,1,2,3,4,5]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06""]","[4806.5,12862.5,14384.5,18478.599999999977,23238.699999999953,25021.400000000023]","[]","[4806.5,10205.400000000023,12222.900000000023,12862.5,14384.5,18478.599999999977,23238.699999999953,25021.400000000023,26127]","0.3333333333333333","0.6","0","","","","","","","","","","","","","","","","","","","","","","",""
"49368.79999999993","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""1"",""Q04"":""2"",""Q05"":""-2"",""Q06"":""1"",""Q07"":""1"",""Q08"":""2""}","survey-template","7","151739","0.0-6.0","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""1"",""Q04"":""2"",""Q05"":""-2"",""Q06"":""1"",""Q07"":""1"",""Q08"":""2""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q01"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08""]","[6939.199999999953,15884.199999999953,16627.699999999953,18323.199999999953,24260.399999999907,25147.099999999977,28988.699999999953,32227.399999999907,48604.69999999995]","[]","[6939.199999999953,15884.199999999953,16627.699999999953,18323.199999999953,24260.399999999907,25147.099999999977,28988.699999999953,32227.399999999907,48604.69999999995,49364]","0.375","0.42857142857142855","0","","","","","","","","","","","","","","","","","","","","","","",""
"14876","
    <p><div style='color:white;font-size:35px; line-height:20px;'>词汇评估任务</div></p><br>
    <p><div style='color:white;font-size:25px; line-height:20px;'>请再次回忆该亲密的朋友，你们至少2年前就认识了，并且最近2年经常见面。</div></p>
    <p><div style='color:white;font-size:25px; line-height:20px;'>在本实验中，您将会看到一些形容词。</div></p>
    <p><div style='color:yellow;font-size:25px; line-height:20px;'>您的任务是判断这些形容词是否符合对您自己或您的朋友的描述。</div></p><p style='font-size:35px'>符合按<span style=""color:lightgreen""> f 键</span>，不符合按<span style=""color:red""> j 键</span></p>","0","html-button-response","8","166622","0.0-7.0-0.0","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","","","","","","","","","","SRET_EW","EW_instructions","Fri Jan 19 2024 19:12:01 GMT+0800 (中国标准时间)","","","","","","","","","","","","","","","","","","","",""
"null","","null","psychophysics","9","169632","0.0-7.0-1.0-0.0","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","","","","","","","","","","SRET_EW","EW_practice","","key","null","16.572928176795646","683","380","朋友","徇私","Negative","morality","","","","","","","","","","",""
"1304","","j","psychophysics","10","171945","0.0-7.0-1.0-0.1","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","no","","","","","","","","","SRET_EW","EW_practice","","key","j","16.665942028985675","683","380","自己","刻板","Negative","ability","","","","","","","","","","",""
"1514","","j","psychophysics","11","174466","0.0-7.0-1.0-0.2","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","no","","","","","","","","","SRET_EW","EW_practice","","key","j","16.666000000000157","683","380","自己","严谨","Positive","ability","","","","","","","","","","",""
"966","","f","psychophysics","12","176434","0.0-7.0-1.0-0.3","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","yes","","","","","","","","","SRET_EW","EW_practice","","key","f","16.665811965811915","683","380","朋友","忠实","Positive","morality","","","","","","","","","","",""
"8974","
    <p><div style='color:white;font-size:35px; line-height:20px;'>请您再次阅读实验要求</div></p><br>
    <p><div style='color:white;font-size:25px; line-height:20px;'>请回忆某一个亲密的朋友，你们至少2年前就认识了，并且最近2年经常见面。</div></p>
    <p><div style='color:white;font-size:25px; line-height:20px;'>在本实验中，您将会看到一些形容词。</div></p>
    <p><div style='color:yellow;font-size:25px; line-height:20px;'>您的任务是判断这些形容词是否符合对您自己或您的朋友的描述。</div></p>
    <p><div class='footer' style='font-size:25px; line-height:20px;'>如果对本实验还有不清楚之处，请立即向实验员咨询。</p><p style='font-size:25px; line-height:20px;'>如果您明白了规则：</p><p style='font-size:22px; line-height:20px;'>请按 继续 进入正式实验</p>
    </div>
    <p style='font-size:35px'>符合按<span style=""color:lightgreen""> f 键</span>，不符合按<span style=""color:red""> j 键</span></p>","0","html-button-response","13","185411","0.0-7.0-2.0","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","","","","","","","","","","SRET_EW","prac_instructions","Fri Jan 19 2024 19:12:01 GMT+0800 (中国标准时间)","","","","","","","","","","","","","","","","","","","",""
"1051","","f","psychophysics","14","187469","0.0-7.0-3.0-0.0","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","yes","","","","","","","","","SRET","EW_formal","","key","f","16.66393442622951","683","380","朋友","迷糊","Negative","ability","","","","","","","","","","",""
"1239","","j","psychophysics","15","189710","0.0-7.0-3.0-0.1","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","no","","","","","","","","","SRET","EW_formal","","key","j","16.665671641790915","683","380","自己","坚贞","Positive","morality","","","","","","","","","","",""
"1059","","f","psychophysics","16","191776","0.0-7.0-3.0-0.2","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","yes","","","","","","","","","SRET","EW_formal","","key","f","16.665040650406645","683","380","朋友","务实","Positive","ability","","","","","","","","","","",""
"1611","","j","psychophysics","17","194394","0.0-7.0-3.0-0.3","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","no","","","","","","","","","SRET","EW_formal","","key","j","16.66538461538454","683","380","自己","说谎","Negative","morality","","","","","","","","","","",""
"1459","","j","psychophysics","18","196860","0.0-7.0-3.0-0.4","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","no","","","","","","","","","SRET","EW_formal","","key","j","16.665986394557784","683","380","朋友","利己","Negative","morality","","","","","","","","","","",""
"870","","j","psychophysics","19","198737","0.0-7.0-3.0-0.5","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","no","","","","","","","","","SRET","EW_formal","","key","j","16.665765765765713","683","380","朋友","混账","Negative","morality","","","","","","","","","","",""
"956","","f","psychophysics","20","200695","0.0-7.0-3.0-0.6","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","yes","","","","","","","","","SRET","EW_formal","","key","f","16.665811965811915","683","380","自己","清廉","Positive","morality","","","","","","","","","","",""
"716","","f","psychophysics","21","202415","0.0-7.0-3.0-0.7","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","yes","","","","","","","","","SRET","EW_formal","","key","f","16.664705882352827","683","380","自己","仁厚","Positive","morality","","","","","","","","","","",""
"789","","j","psychophysics","22","204211","0.0-7.0-3.0-0.8","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","no","","","","","","","","","SRET","EW_formal","","key","j","16.666355140186806","683","380","朋友","博学","Positive","ability","","","","","","","","","","",""
"1199","","j","psychophysics","23","206417","0.0-7.0-3.0-0.9","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","no","","","","","","","","","SRET","EW_formal","","key","j","16.665648854961923","683","380","自己","娴熟","Positive","ability","","","","","","","","","","",""
"911","","j","psychophysics","24","208333","0.0-7.0-3.0-0.10","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","no","","","","","","","","","SRET","EW_formal","","key","j","16.66578947368416","683","380","自己","坦荡","Positive","morality","","","","","","","","","","",""
"763","","j","psychophysics","25","210102","0.0-7.0-3.0-0.11","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","no","","","","","","","","","SRET","EW_formal","","key","j","16.664761904761793","683","380","朋友","小人","Negative","morality","","","","","","","","","","",""
"779","","j","psychophysics","26","211884","0.0-7.0-3.0-0.12","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","no","","","","","","","","","SRET","EW_formal","","key","j","16.666037735849113","683","380","朋友","全才","Positive","ability","","","","","","","","","","",""
"858","","f","psychophysics","27","213747","0.0-7.0-3.0-0.13","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","yes","","","","","","","","","SRET","EW_formal","","key","f","16.664864864865024","683","380","朋友","精干","Positive","ability","","","","","","","","","","",""
"1025","","f","psychophysics","28","215775","0.0-7.0-3.0-0.14","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","yes","","","","","","","","","SRET","EW_formal","","key","f","16.665289256198346","683","380","朋友","无私","Positive","morality","","","","","","","","","","",""
"798","","f","psychophysics","29","217579","0.0-7.0-3.0-0.15","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","yes","","","","","","","","","SRET","EW_formal","","key","f","16.664485981308466","683","380","朋友","守法","Positive","morality","","","","","","","","","","",""
"879","","j","psychophysics","30","219462","0.0-7.0-3.0-0.16","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","no","","","","","","","","","SRET","EW_formal","","key","j","16.665178571428573","683","380","自己","独断","Negative","ability","","","","","","","","","","",""
"1318","","f","psychophysics","31","221783","0.0-7.0-3.0-0.17","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","yes","","","","","","","","","SRET","EW_formal","","key","f","16.665217391304264","683","380","自己","忠勇","Positive","morality","","","","","","","","","","",""
"933","","f","psychophysics","32","223719","0.0-7.0-3.0-0.18","5","2","5","1","1","5","3","4","4","5","5","0","0","1","2","-2","1","1","2","5","4","5","4","2","1","2","3","4","3","4","6","4","8","3","7","6","5","7","5","5","3","3","6","2","5","2","5","5","1","2","2","5","1","1","5","5","4","6","3","1","2","2","1","1","2","6","2","1","7","1","1","1","1","1","2","1","7","1","3","799230569765543938","仲","102","Female","[""坏我"",""好我"",""好她"",""坏她""]","[""弱我"",""强我"",""强她"",""弱她""]","","","","","","","","yes","","","","","","","","","SRET","EW_formal","","key","f","16.666086956521536","683","380","朋友","奉献","Positive","morality","","","","","","","","","","",""
