"","subj_idx","NPI","score"
"1",558365014109454336,"1",0
"2",558365014109454336,"2",0
"3",558365014109454336,"3",0
"4",558365014109454336,"4",0
"5",558365014109454336,"5",0
"6",558365014109454336,"6",1
"7",558365014109454336,"7",0
"8",558365014109454336,"8",0
"9",558365014109454336,"9",1
"10",558365014109454336,"10",0
"11",558365014109454336,"11",0
"12",558365014109454336,"12",0
"13",558365014109454336,"13",0
"14",558365014109454336,"14",0
"15",558365014109454336,"15",0
"16",568408786771902464,"1",0
"17",568408786771902464,"2",0
"18",568408786771902464,"3",0
"19",568408786771902464,"4",1
"20",568408786771902464,"5",0
"21",568408786771902464,"6",1
"22",568408786771902464,"7",1
"23",568408786771902464,"8",0
"24",568408786771902464,"9",1
"25",568408786771902464,"10",0
"26",568408786771902464,"11",0
"27",568408786771902464,"12",0
"28",568408786771902464,"13",1
"29",568408786771902464,"14",0
"30",568408786771902464,"15",1
"31",613040465838604288,"1",0
"32",613040465838604288,"2",0
"33",613040465838604288,"3",0
"34",613040465838604288,"4",0
"35",613040465838604288,"5",0
"36",613040465838604288,"6",0
"37",613040465838604288,"7",0
"38",613040465838604288,"8",0
"39",613040465838604288,"9",1
"40",613040465838604288,"10",0
"41",613040465838604288,"11",0
"42",613040465838604288,"12",0
"43",613040465838604288,"13",1
"44",613040465838604288,"14",0
"45",613040465838604288,"15",0
"46",628584680945352704,"1",1
"47",628584680945352704,"2",0
"48",628584680945352704,"3",0
"49",628584680945352704,"4",0
"50",628584680945352704,"5",0
"51",628584680945352704,"6",0
"52",628584680945352704,"7",1
"53",628584680945352704,"8",1
"54",628584680945352704,"9",0
"55",628584680945352704,"10",0
"56",628584680945352704,"11",0
"57",628584680945352704,"12",0
"58",628584680945352704,"13",1
"59",628584680945352704,"14",0
"60",628584680945352704,"15",0
"61",656853379439394816,"1",1
"62",656853379439394816,"2",1
"63",656853379439394816,"3",1
"64",656853379439394816,"4",1
"65",656853379439394816,"5",1
"66",656853379439394816,"6",0
"67",656853379439394816,"7",1
"68",656853379439394816,"8",1
"69",656853379439394816,"9",1
"70",656853379439394816,"10",1
"71",656853379439394816,"11",1
"72",656853379439394816,"12",1
"73",656853379439394816,"13",1
"74",656853379439394816,"14",1
"75",656853379439394816,"15",1
"76",682910925522468864,"1",0
"77",682910925522468864,"2",0
"78",682910925522468864,"3",0
"79",682910925522468864,"4",0
"80",682910925522468864,"5",0
"81",682910925522468864,"6",0
"82",682910925522468864,"7",1
"83",682910925522468864,"8",0
"84",682910925522468864,"9",0
"85",682910925522468864,"10",0
"86",682910925522468864,"11",0
"87",682910925522468864,"12",0
"88",682910925522468864,"13",0
"89",682910925522468864,"14",0
"90",682910925522468864,"15",0
"91",690857936225828864,"1",0
"92",690857936225828864,"2",0
"93",690857936225828864,"3",0
"94",690857936225828864,"4",0
"95",690857936225828864,"5",0
"96",690857936225828864,"6",0
"97",690857936225828864,"7",0
"98",690857936225828864,"8",0
"99",690857936225828864,"9",0
"100",690857936225828864,"10",0
"101",690857936225828864,"11",0
"102",690857936225828864,"12",0
"103",690857936225828864,"13",0
"104",690857936225828864,"14",0
"105",690857936225828864,"15",0
"106",703157170715230208,"1",0
"107",703157170715230208,"2",0
"108",703157170715230208,"3",0
"109",703157170715230208,"4",0
"110",703157170715230208,"5",0
"111",703157170715230208,"6",0
"112",703157170715230208,"7",0
"113",703157170715230208,"8",0
"114",703157170715230208,"9",1
"115",703157170715230208,"10",0
"116",703157170715230208,"11",0
"117",703157170715230208,"12",0
"118",703157170715230208,"13",0
"119",703157170715230208,"14",0
"120",703157170715230208,"15",0
"121",718754642447564800,"1",0
"122",718754642447564800,"2",0
"123",718754642447564800,"3",0
"124",718754642447564800,"4",1
"125",718754642447564800,"5",0
"126",718754642447564800,"6",1
"127",718754642447564800,"7",1
"128",718754642447564800,"8",0
"129",718754642447564800,"9",1
"130",718754642447564800,"10",0
"131",718754642447564800,"11",0
"132",718754642447564800,"12",0
"133",718754642447564800,"13",0
"134",718754642447564800,"14",0
"135",718754642447564800,"15",0
"136",728341831389020160,"1",1
"137",728341831389020160,"2",1
"138",728341831389020160,"3",1
"139",728341831389020160,"4",1
"140",728341831389020160,"5",0
"141",728341831389020160,"6",0
"142",728341831389020160,"7",1
"143",728341831389020160,"8",0
"144",728341831389020160,"9",0
"145",728341831389020160,"10",1
"146",728341831389020160,"11",0
"147",728341831389020160,"12",0
"148",728341831389020160,"13",0
"149",728341831389020160,"14",0
"150",728341831389020160,"15",0
"151",732226150302224384,"1",0
"152",732226150302224384,"2",0
"153",732226150302224384,"3",0
"154",732226150302224384,"4",0
"155",732226150302224384,"5",0
"156",732226150302224384,"6",1
"157",732226150302224384,"7",0
"158",732226150302224384,"8",0
"159",732226150302224384,"9",1
"160",732226150302224384,"10",0
"161",732226150302224384,"11",0
"162",732226150302224384,"12",0
"163",732226150302224384,"13",1
"164",732226150302224384,"14",0
"165",732226150302224384,"15",0
"166",735606541780258816,"1",0
"167",735606541780258816,"2",0
"168",735606541780258816,"3",0
"169",735606541780258816,"4",0
"170",735606541780258816,"5",0
"171",735606541780258816,"6",0
"172",735606541780258816,"7",0
"173",735606541780258816,"8",0
"174",735606541780258816,"9",1
"175",735606541780258816,"10",0
"176",735606541780258816,"11",0
"177",735606541780258816,"12",0
"178",735606541780258816,"13",0
"179",735606541780258816,"14",0
"180",735606541780258816,"15",0
"181",742402460798423040,"1",0
"182",742402460798423040,"2",0
"183",742402460798423040,"3",0
"184",742402460798423040,"4",0
"185",742402460798423040,"5",0
"186",742402460798423040,"6",0
"187",742402460798423040,"7",1
"188",742402460798423040,"8",0
"189",742402460798423040,"9",0
"190",742402460798423040,"10",0
"191",742402460798423040,"11",0
"192",742402460798423040,"12",0
"193",742402460798423040,"13",0
"194",742402460798423040,"14",0
"195",742402460798423040,"15",0
"196",745398419547492352,"1",0
"197",745398419547492352,"2",0
"198",745398419547492352,"3",0
"199",745398419547492352,"4",0
"200",745398419547492352,"5",0
"201",745398419547492352,"6",0
"202",745398419547492352,"7",1
"203",745398419547492352,"8",0
"204",745398419547492352,"9",0
"205",745398419547492352,"10",0
"206",745398419547492352,"11",0
"207",745398419547492352,"12",0
"208",745398419547492352,"13",0
"209",745398419547492352,"14",0
"210",745398419547492352,"15",0
"211",746397539082964992,"1",0
"212",746397539082964992,"2",0
"213",746397539082964992,"3",0
"214",746397539082964992,"4",0
"215",746397539082964992,"5",0
"216",746397539082964992,"6",0
"217",746397539082964992,"7",0
"218",746397539082964992,"8",0
"219",746397539082964992,"9",0
"220",746397539082964992,"10",0
"221",746397539082964992,"11",0
"222",746397539082964992,"12",0
"223",746397539082964992,"13",0
"224",746397539082964992,"14",0
"225",746397539082964992,"15",0
"226",755507503227473920,"1",0
"227",755507503227473920,"2",0
"228",755507503227473920,"3",1
"229",755507503227473920,"4",0
"230",755507503227473920,"5",0
"231",755507503227473920,"6",0
"232",755507503227473920,"7",0
"233",755507503227473920,"8",0
"234",755507503227473920,"9",1
"235",755507503227473920,"10",0
"236",755507503227473920,"11",0
"237",755507503227473920,"12",0
"238",755507503227473920,"13",1
"239",755507503227473920,"14",0
"240",755507503227473920,"15",0
"241",755771736343187456,"1",0
"242",755771736343187456,"2",0
"243",755771736343187456,"3",1
"244",755771736343187456,"4",1
"245",755771736343187456,"5",0
"246",755771736343187456,"6",0
"247",755771736343187456,"7",1
"248",755771736343187456,"8",0
"249",755771736343187456,"9",1
"250",755771736343187456,"10",1
"251",755771736343187456,"11",0
"252",755771736343187456,"12",1
"253",755771736343187456,"13",0
"254",755771736343187456,"14",0
"255",755771736343187456,"15",0
