"","ParticipantID","friend_name","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","Sex","ID"
"1",322,"王",6,6,6,5,5,5,4,4,5,5,5,3,-2,1,-1,-1,-2,2,1,5,4,2,5,4,5,4,4,4,4,4,4,7,6,6,4,4,7,6,3,5,1,2,5,2,3,3,5,2,2,2,2,2,2,6,3,4,2,3,3,3,3,2,2,6,2,5,5,7,5,3,7,2,3,3,2,6,2,3,718982212988436480,"Female","phase_015_subj_18"
"2",18,"李",2,1,2,1,1,2,1,1,2,2,2,-2,-1,-3,-2,-1,-2,-2,-2,1,2,3,2,2,1,1,1,2,2,1,4,3,3,1,1,2,1,2,2,2,3,3,2,1,2,3,1,2,1,2,3,1,1,1,2,2,2,2,1,1,3,1,2,5,1,3,1,4,3,1,2,1,1,3,1,7,2,2,688788853804236800,"Male","phase_015_subj_3"
"3",540,"周",7,7,7,7,7,5,5,5,5,5,5,3,1,3,2,3,3,3,3,5,5,5,5,5,4,4,5,5,4,7,7,8,8,7,6,8,8,8,7,7,7,7,7,7,7,1,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,598865314549071872,"Male","phase_015_subj_32"
"4",681,"郑",6,4,6,6,1,5,4,4,5,4,5,2,-1,1,1,-2,2,2,-1,5,5,5,4,5,3,4,4,3,5,6,6,8,7,5,5,4,6,5,5,6,2,5,6,3,5,1,4,5,3,4,4,3,2,4,4,5,1,4,2,2,3,2,3,5,4,6,2,5,7,3,6,6,4,5,3,7,3,2,572507877353193472,"Female","phase_015_subj_46"
"5",404,"杨",7,7,7,7,7,5,5,5,5,5,5,3,2,3,3,3,3,3,3,5,5,5,5,1,5,5,5,5,5,8,7,8,8,8,7,8,9,7,7,7,7,7,7,7,7,1,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,598901822953881600,"Male","phase_015_subj_23"
"6",571,"罗",1,1,2,1,1,2,1,1,2,1,1,-2,1,-3,-2,-2,-1,-1,-1,3,2,2,4,1,1,1,1,2,2,2,4,3,4,2,2,2,2,3,2,3,1,3,2,1,1,3,2,2,1,3,3,2,1,1,2,2,2,3,3,1,3,1,2,7,2,3,1,7,3,1,3,2,2,3,3,7,3,2,688842330605617152,"Male","phase_015_subj_35"
"7",110,"王",5,5,5,6,4,3,4,4,5,4,5,1,-1,2,2,-1,2,2,2,4,4,5,4,3,4,4,5,4,5,4,6,4,5,5,4,5,6,6,4,6,3,4,5,4,5,2,4,5,4,5,5,3,6,5,5,4,5,6,4,5,4,6,2,5,7,3,7,7,7,5,4,6,3,6,7,5,5,6,784384274496491520,"Male","phase_015_subj_11"
"8",624,"刘",3,3,4,3,2,3,2,2,2,1,4,-1,-1,-2,1,-2,-2,-2,-2,5,4,5,4,4,4,5,4,5,4,4,5,4,6,4,3,6,5,6,4,2,2,3,2,3,2,4,1,2,1,2,5,4,1,3,3,3,3,2,3,3,3,1,3,3,3,7,2,6,5,3,6,5,2,5,5,6,3,4,673239924056522752,"Female","phase_015_subj_42"
"9",458,"余",6,6,7,5,2,4,4,4,5,4,5,2,-1,2,-1,2,3,2,2,5,4,5,4,3,1,3,4,3,5,5,6,5,6,5,5,6,5,5,6,5,4,6,5,4,5,6,6,5,5,4,7,5,2,5,6,4,6,6,3,6,3,3,2,6,6,4,5,6,4,5,3,3,2,7,3,1,3,6,779748154852773888,"Female","phase_015_subj_27"
"10",700,"王",7,7,7,7,6,5,5,5,5,5,5,3,2,3,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,8,8,7,8,6,7,8,9,8,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,672909992034041856,"Male","phase_015_subj_49"
"11",588,"张",4,3,4,3,2,4,3,3,4,3,4,1,1,-1,1,-1,1,1,2,4,4,5,4,4,3,3,3,3,4,6,5,6,5,6,7,6,5,6,5,4,5,5,5,4,5,4,5,3,4,3,4,4,5,4,5,3,4,3,3,4,4,4,3,4,3,4,5,6,5,3,4,2,4,3,3,4,3,4,661494086074630144,"Male","phase_015_subj_37"
"12",592,"李",5,4,3,3,4,4,2,3,4,4,4,2,1,1,3,1,1,3,3,5,4,5,4,4,3,3,4,2,3,4,3,5,6,2,4,2,5,6,3,2,3,3,5,2,6,2,7,1,4,1,6,2,6,2,2,4,5,5,2,3,3,1,1,6,3,7,2,6,6,2,3,1,2,6,7,6,1,3,689594271669420032,"Female","phase_015_subj_39"
"13",67,"杨",3,3,5,2,2,4,2,3,3,4,4,2,-1,-1,3,1,1,1,2,4,2,5,2,2,2,5,2,2,5,7,8,3,7,8,2,7,3,8,5,2,2,4,5,3,6,3,3,3,5,2,4,2,2,3,5,2,5,2,2,2,6,5,3,6,3,6,3,7,3,5,7,3,2,3,2,7,4,5,798267707752587264,"Male","phase_015_subj_6"
"14",691,"林",6,5,7,5,7,5,5,4,4,5,5,-3,-1,1,1,-3,3,2,3,4,5,4,5,4,5,4,5,4,5,5,5,4,5,4,4,4,4,5,5,2,6,5,5,3,6,2,4,3,5,2,5,2,3,6,5,4,5,4,3,6,6,5,3,6,5,5,7,6,5,7,5,5,6,6,5,5,3,6,793060622811144192,"Male","phase_015_subj_48"
"15",591,"刘",7,7,7,7,7,5,5,5,5,5,5,3,2,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,8,8,7,8,7,8,8,9,8,7,7,7,7,7,7,7,1,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,634716408718032896,"Male","phase_015_subj_38"
"16",654,"李",4,5,5,3,2,4,2,3,4,4,4,-1,2,1,-2,-3,1,2,2,4,3,5,4,3,3,3,2,4,3,6,6,4,5,4,4,6,7,6,4,5,5,3,3,3,4,1,3,2,2,3,4,3,2,4,2,6,4,2,2,3,3,3,3,4,3,5,3,7,6,3,6,3,4,4,5,5,1,3,796359969116135424,"Male","phase_015_subj_43"
"17",562,"冯",6,6,7,5,5,4,2,5,3,2,3,3,2,1,2,2,2,3,2,5,5,5,5,5,4,4,4,4,3,3,3,4,4,2,3,2,1,3,6,5,5,4,5,2,5,1,6,2,6,3,6,2,4,6,3,3,5,3,3,5,3,4,3,7,4,6,5,6,3,7,3,4,2,6,3,6,3,6,672081135265644544,"Male","phase_015_subj_33"
"18",459,"林",6,5,7,6,6,5,4,5,5,5,5,2,1,2,1,3,1,2,3,5,5,5,5,5,4,5,5,5,4,3,4,2,7,2,8,6,5,6,7,3,2,7,7,5,6,1,7,3,7,6,6,3,5,5,6,3,3,7,3,3,3,2,3,7,3,6,6,7,7,3,6,1,7,5,6,6,5,4,769498068633784320,"Female","phase_015_subj_28"
"19",89,"文",3,2,3,1,3,4,1,2,3,2,5,-1,1,-3,1,-3,-1,-2,1,5,4,5,4,4,3,4,2,4,3,5,6,3,7,4,4,5,5,6,2,3,3,3,3,2,2,2,3,2,3,2,3,3,1,5,3,3,3,2,2,3,4,3,3,6,5,5,2,7,7,3,5,2,2,3,2,3,2,5,772080972635312128,"Female","phase_015_subj_9"
"20",103,"李",3,2,2,1,3,4,2,5,5,5,4,1,2,1,3,1,2,2,3,4,4,5,5,5,4,4,5,4,5,6,5,7,7,6,5,8,5,6,5,2,3,2,2,3,5,1,6,3,3,3,6,3,2,3,4,4,3,2,2,5,3,3,2,5,5,6,7,7,6,5,5,4,2,5,3,7,3,4,802285339656986624,"Female","phase_015_subj_10"
"21",221,"赵",6,4,5,5,1,5,4,4,4,4,5,1,-1,2,1,-3,2,1,1,5,5,5,4,5,3,3,4,3,5,4,4,7,5,3,8,5,7,5,6,5,2,4,4,2,4,3,5,5,4,3,4,3,2,3,4,2,3,4,2,3,3,2,3,4,3,5,1,5,7,3,6,5,3,4,2,4,3,2,572507279396438016,"Female","phase_015_subj_16"
"22",417,"陈",5,4,6,6,5,4,4,5,4,5,4,-2,-2,1,2,-3,2,1,1,4,5,5,4,4,5,5,4,4,5,5,5,4,6,4,4,5,4,5,5,1,6,5,5,2,5,2,2,4,5,3,6,2,3,6,5,4,5,4,3,5,6,6,3,7,5,5,5,6,6,5,5,6,6,5,5,5,3,7,803273008734150656,"Male","phase_015_subj_24"
"23",430,"李",5,4,5,5,6,4,4,4,5,5,5,-1,-1,1,2,-2,2,2,1,4,4,4,4,5,4,5,4,5,4,6,5,3,5,5,4,4,4,5,6,2,5,6,5,3,6,3,6,4,5,2,6,3,3,5,5,4,5,5,3,5,5,6,2,5,7,5,6,5,5,6,5,5,6,5,5,5,3,6,790214171080925184,"Male","phase_015_subj_25"
"24",12,"黄",7,7,7,7,7,5,4,4,5,5,5,3,-1,3,1,-1,1,3,1,5,4,5,5,4,3,4,4,4,4,5,5,4,8,7,3,7,5,5,6,7,5,5,4,2,6,1,5,4,4,2,4,3,2,5,5,6,5,3,3,4,3,7,5,6,3,7,7,7,7,7,7,4,4,6,3,7,4,6,801783599631310848,"Male","phase_015_subj_2"
"25",389,"陈",7,7,7,7,7,5,5,5,5,5,5,3,3,3,2,3,3,3,3,5,5,5,5,1,5,5,5,5,5,8,7,8,8,8,7,8,8,8,7,7,7,7,7,6,7,1,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,718592959586500608,"Male",NA
"26",375,"陈",7,6,7,6,6,5,5,5,5,5,5,2,1,1,-2,2,3,2,3,5,4,5,5,5,4,4,4,5,5,7,9,6,9,7,3,8,7,9,7,6,3,3,7,2,7,2,6,6,2,1,6,1,2,6,6,7,6,6,3,2,1,2,2,5,2,6,7,7,6,7,7,6,1,6,3,7,3,6,776954102012973056,"Male","phase_015_subj_21"
"27",112,"张",2,1,1,2,1,4,3,4,5,5,5,3,-1,1,2,-3,1,2,2,5,4,5,4,5,4,3,4,4,4,7,7,8,8,7,9,7,8,8,4,6,3,3,3,2,4,2,3,3,3,2,6,2,1,5,5,3,4,3,1,2,1,1,2,7,2,7,7,7,7,6,6,5,2,7,2,7,3,3,677293882131611648,"Male","phase_015_subj_12"
"28",380,"朱",7,7,7,7,6,5,5,5,5,5,5,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,4,5,5,8,7,7,8,7,8,7,9,7,7,7,7,7,7,7,6,1,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,634653479763181568,"Male","phase_015_subj_22"
"29",507,"张",6,5,6,3,4,5,4,4,5,5,5,2,1,-1,1,2,3,2,2,4,4,5,5,4,5,4,3,4,5,6,5,7,6,5,6,7,6,5,5,7,6,6,7,3,6,1,5,6,4,3,4,2,5,5,5,5,6,6,3,3,2,4,5,6,3,7,5,6,6,4,7,7,4,7,6,7,5,4,735455183198490624,"Male","phase_015_subj_29"
"30",223,"何",6,6,6,4,3,4,3,4,4,4,5,3,2,2,2,1,2,2,2,5,5,5,5,5,4,4,4,4,4,4,5,5,6,6,5,6,7,7,6,6,4,6,5,3,6,1,6,5,4,5,5,3,5,3,6,3,5,5,1,4,3,6,1,7,1,4,1,7,7,2,1,1,6,5,1,2,1,2,751465309353021440,"Male","phase_015_subj_17"
"31",201,"姜",4,4,3,3,2,4,4,4,5,5,4,1,-1,-1,1,-3,1,2,2,4,4,5,5,4,4,5,4,4,3,5,6,5,5,5,6,5,6,7,4,5,5,6,4,4,3,6,4,4,3,3,5,4,3,6,3,4,5,6,3,3,3,6,4,6,5,5,6,5,5,5,5,5,3,6,3,5,2,6,781449352643350528,"Male","phase_015_subj_15"
"32",672,"张",6,6,7,6,5,4,5,4,5,5,5,2,1,2,2,2,3,2,2,5,4,5,4,4,4,4,4,5,4,6,6,7,7,4,7,7,6,8,4,6,4,7,5,6,6,6,6,5,6,5,5,6,6,7,5,7,6,6,2,6,3,6,5,6,7,6,6,6,6,7,6,6,3,7,7,6,6,7,790000811211104256,"Male","phase_015_subj_45"
"33",76,"肖",5,5,6,4,3,4,3,4,4,4,5,2,-1,2,1,2,1,3,2,5,4,5,4,4,3,4,3,4,4,6,8,7,7,6,7,7,6,8,4,5,4,6,5,3,6,5,6,5,5,4,5,4,6,4,5,5,5,6,3,6,4,5,5,6,5,7,6,5,3,4,5,3,3,4,3,6,3,6,792736654921179136,"Female","phase_015_subj_7"
"34",599,"李",3,2,2,1,1,3,2,2,3,4,4,-2,1,-1,2,-1,1,1,2,4,2,5,2,2,4,4,3,4,4,4,6,7,7,5,6,4,6,6,5,3,3,4,2,2,5,5,4,3,3,3,6,6,3,3,3,4,3,3,3,3,2,2,3,5,2,4,5,5,7,3,5,4,3,2,3,3,3,4,798586383785664512,"Male","phase_015_subj_40"
"35",321,"吴",5,5,6,4,3,5,4,4,5,5,4,1,1,2,2,-1,1,2,1,4,3,5,3,2,5,5,4,5,4,6,7,7,7,6,7,6,7,8,5,5,5,5,6,3,5,6,5,5,4,3,6,5,4,3,5,5,4,5,3,3,3,2,4,5,3,6,5,5,7,5,6,5,3,3,3,2,3,3,798898667061911552,"Female","phase_015_subj_19"
"36",513,"亓",7,6,6,6,6,2,3,4,2,2,5,2,1,1,1,2,2,2,1,5,4,5,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,5,5,5,4,6,5,3,5,5,6,5,5,2,5,4,4,5,5,5,6,3,3,3,3,3,3,5,3,6,5,5,3,3,5,4,3,3,2,5,3,5,799015908117979136,"Female","phase_015_subj_30"
"37",369,"武",4,4,5,4,3,5,3,2,4,3,5,-1,-1,-1,-1,1,1,1,1,4,4,5,5,4,4,4,4,4,4,6,6,6,7,6,7,7,7,7,5,3,5,4,4,3,4,2,4,3,4,3,4,5,3,5,4,4,4,4,3,3,3,3,3,5,3,4,4,6,6,4,4,5,3,4,2,4,3,4,800009629605175296,"Female","phase_015_subj_20"
"38",568,"张",6,5,6,4,3,4,3,4,4,5,4,3,-1,2,1,2,2,3,2,5,4,5,4,4,3,4,3,4,4,6,8,7,7,6,6,7,6,7,4,5,4,6,5,3,6,3,6,5,5,3,6,4,5,4,5,5,5,6,3,5,5,5,5,7,5,6,6,5,5,5,5,3,3,5,2,5,3,6,802197026057101312,"Female","phase_015_subj_34"
"39",23,"潘",5,6,6,5,3,4,4,4,4,4,4,2,-1,1,2,1,1,1,2,5,4,5,5,4,3,4,5,4,4,5,6,4,6,4,4,6,4,6,6,6,6,6,6,5,6,3,6,6,5,4,3,4,6,6,6,6,6,6,3,5,3,3,3,6,6,5,5,5,5,5,6,5,5,6,3,2,5,5,802899041120821248,"Female","phase_015_subj_4"
"40",526,"顾",6,4,5,5,6,5,2,5,5,5,4,2,2,2,2,1,2,2,2,5,5,4,4,4,4,4,4,4,4,8,7,6,7,7,6,8,8,8,6,3,3,5,6,3,6,2,5,2,3,3,4,3,5,5,5,3,5,2,2,3,2,3,2,6,3,6,4,4,7,6,7,4,1,3,3,6,3,5,803250783939338240,"Female","phase_015_subj_31"
"41",201,"姜",4,4,3,3,1,4,4,4,5,4,4,2,-1,-1,1,-2,1,2,2,4,4,5,5,4,4,5,4,4,3,5,6,5,5,5,6,5,6,6,4,5,5,6,4,3,3,6,5,4,3,3,5,4,3,6,3,4,5,5,3,3,3,3,5,5,5,5,5,6,5,5,5,5,3,6,3,5,4,5,803360750616846336,"Male","phase_015_subj_15"
"42",6,"黄",5,4,5,5,6,5,4,4,4,4,5,-2,-1,2,2,-1,1,2,1,5,5,4,4,5,4,4,5,4,4,6,5,3,6,4,5,5,4,6,5,3,6,5,4,2,5,3,3,2,5,3,6,3,3,6,4,4,5,4,2,5,6,5,3,6,5,5,6,5,5,6,4,5,6,5,5,6,3,5,790191134524710912,"Male","phase_015_subj_1"
"43",448,"罗",6,6,6,6,5,5,2,4,4,4,5,1,1,2,2,1,2,2,2,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,3,5,5,5,5,3,5,7,5,7,5,5,5,3,5,5,5,5,3,3,3,5,3,5,3,5,3,5,3,5,3,5,7,1,3,5,3,5,3,5,789952361161433088,"Female","phase_015_subj_26"
"44",79,"R",4,3,3,2,3,4,5,3,4,5,4,-2,1,-2,1,-1,2,1,1,4,4,5,5,5,1,3,2,4,4,3,4,2,4,1,5,3,4,4,5,5,5,3,4,3,7,1,4,5,3,3,2,3,6,6,4,2,6,5,3,6,3,1,2,2,7,7,3,7,1,1,7,1,2,2,1,7,3,7,572562214427295744,"Male","phase_015_subj_8"
"45",25,"李",5,5,5,5,4,4,4,4,4,4,5,2,2,1,1,1,2,2,2,5,4,5,5,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,5,6,5,5,5,3,5,5,6,5,5,3,3,5,5,5,5,6,6,6,3,3,3,3,2,5,3,6,6,5,6,5,6,5,3,6,5,5,3,5,763092748139237376,"Male","phase_015_subj_5"
